id,label
0,13
1,7
2,18
3,17
4,14
5,21
6,13
7,5
8,3
9,1
10,3
11,0
12,4
13,16
14,7
15,17
16,5
17,9
18,17
19,13
20,3
21,13
22,1
23,2
24,18
25,3
26,3
27,1
28,0
29,21
30,13
31,6
32,0
33,2
34,3
35,21
36,5
37,13
38,2
39,0
40,3
41,0
42,0
43,16
44,1
45,4
46,4
47,13
48,3
49,17
50,13
51,13
52,16
53,0
54,0
55,7
56,5
57,18
58,3
59,0
60,0
61,3
62,11
63,0
64,4
65,14
66,16
67,19
68,2
69,7
70,0
71,16
72,0
73,3
74,13
75,14
76,0
77,7
78,3
79,17
80,16
81,16
82,0
83,18
84,0
85,10
86,1
87,17
88,5
89,7
90,3
91,3
92,2
93,4
94,16
95,7
96,7
97,3
98,5
99,17
100,3
101,13
102,3
103,16
104,3
105,3
106,3
107,14
108,1
109,2
110,3
111,4
112,14
113,4
114,17
115,0
116,3
117,3
118,14
119,13
120,3
121,13
122,0
123,3
124,14
125,7
126,17
127,7
128,13
129,1
130,0
131,5
132,7
133,3
134,5
135,7
136,13
137,0
138,17
139,19
140,0
141,11
142,0
143,9
144,7
145,17
146,13
147,19
148,7
149,4
150,13
151,5
152,2
153,3
154,0
155,13
156,7
157,17
158,4
159,4
160,16
161,3
162,7
163,10
164,0
165,2
166,5
167,4
168,17
169,3
170,3
171,14
172,0
173,3
174,7
175,16
176,17
177,4
178,0
179,0
180,13
181,17
182,17
183,13
184,5
185,13
186,0
187,0
188,6
189,4
190,4
191,5
192,11
193,2
194,4
195,14
196,5
197,13
198,18
199,17
200,13
201,17
202,0
203,0
204,4
205,21
206,3
207,7
208,16
209,13
210,3
211,3
212,0
213,6
214,17
215,19
216,3
217,3
218,0
219,4
220,3
221,11
222,7
223,14
224,3
225,17
226,0
227,5
228,1
229,5
230,17
231,5
232,14
233,1
234,0
235,14
236,18
237,4
238,2
239,9
240,17
241,3
242,1
243,17
244,3
245,0
246,3
247,5
248,3
249,0
250,3
251,2
252,18
253,0
254,22
255,16
256,13
257,2
258,2
259,14
260,0
261,17
262,3
263,1
264,5
265,3
266,11
267,9
268,11
269,2
270,11
271,5
272,4
273,5
274,0
275,11
276,5
277,2
278,2
279,3
280,5
281,14
282,14
283,0
284,14
285,2
286,5
287,13
288,3
289,21
290,0
291,14
292,16
293,2
294,3
295,3
296,14
297,13
298,3
299,3
300,13
301,7
302,16
303,13
304,2
305,2
306,0
307,7
308,4
309,7
310,16
311,0
312,13
313,21
314,13
315,7
316,3
317,3
318,18
319,3
320,2
321,3
322,0
323,17
324,0
325,17
326,7
327,5
328,14
329,13
330,14
331,3
332,0
333,16
334,17
335,21
336,0
337,4
338,5
339,2
340,0
341,3
342,4
343,0
344,19
345,14
346,7
347,16
348,16
349,16
350,16
351,19
352,5
353,7
354,16
355,13
356,8
357,0
358,16
359,0
360,2
361,17
362,7
363,14
364,14
365,0
366,16
367,3
368,17
369,0
370,18
371,7
372,1
373,10
374,7
375,8
376,5
377,0
378,4
379,16
380,0
381,5
382,0
383,3
384,7
385,5
386,4
387,18
388,7
389,7
390,5
391,4
392,0
393,17
394,1
395,0
396,0
397,16
398,3
399,0
400,17
401,11
402,4
403,0
404,2
405,16
406,5
407,13
408,3
409,5
410,6
411,1
412,3
413,4
414,0
415,1
416,0
417,0
418,19
419,3
420,3
421,17
422,0
423,9
424,0
425,0
426,2
427,3
428,4
429,1
430,2
431,2
432,3
433,0
434,3
435,14
436,13
437,19
438,7
439,0
440,16
441,0
442,16
443,3
444,2
445,2
446,7
447,11
448,2
449,2
450,4
451,1
452,13
453,0
454,7
455,7
456,13
457,7
458,7
459,5
460,17
461,7
462,14
463,2
464,14
465,21
466,0
467,17
468,2
469,5
470,0
471,7
472,0
473,17
474,13
475,17
476,5
477,13
478,0
479,0
480,4
481,11
482,2
483,3
484,0
485,7
486,4
487,10
488,3
489,18
490,14
491,3
492,2
493,4
494,11
495,16
496,2
497,5
498,3
499,13
500,16
501,2
502,17
503,14
504,1
505,3
506,1
507,13
508,14
509,7
510,14
511,0
512,4
513,0
514,1
515,3
516,19
517,11
518,0
519,7
520,5
521,9
522,4
523,18
524,2
525,13
526,18
527,3
528,5
529,0
530,4
531,3
532,17
533,1
534,9
535,0
536,11
537,5
538,7
539,0
540,14
541,17
542,16
543,2
544,16
545,3
546,3
547,16
548,3
549,17
550,14
551,2
552,14
553,16
554,6
555,2
556,3
557,3
558,0
559,18
560,16
561,5
562,17
563,7
564,3
565,0
566,7
567,14
568,2
569,14
570,14
571,14
572,16
573,0
574,7
575,0
576,0
577,3
578,16
579,4
580,3
581,16
582,2
583,22
584,14
585,5
586,16
587,14
588,3
589,0
590,14
591,11
592,4
593,3
594,2
595,6
596,17
597,1
598,1
599,0
600,6
601,0
602,16
603,14
604,0
605,13
606,7
607,21
608,5
609,21
610,5
611,0
612,13
613,5
614,1
615,4
616,13
617,13
618,0
619,13
620,4
621,1
622,16
623,5
624,19
625,13
626,0
627,17
628,0
629,17
630,2
631,1
632,5
633,4
634,0
635,17
636,2
637,18
638,14
639,0
640,7
641,3
642,7
643,19
644,2
645,13
646,13
647,14
648,13
649,13
650,3
651,16
652,4
653,3
654,14
655,17
656,1
657,13
658,4
659,3
660,0
661,3
662,14
663,13
664,16
665,3
666,2
667,7
668,4
669,2
670,3
671,13
672,4
673,13
674,5
675,13
676,2
677,18
678,16
679,17
680,2
681,2
682,1
683,3
684,18
685,0
686,17
687,2
688,14
689,14
690,4
691,7
692,4
693,7
694,9
695,0
696,5
697,11
698,3
699,7
700,16
701,3
702,4
703,5
704,2
705,2
706,3
707,18
708,3
709,7
710,16
711,4
712,3
713,2
714,3
715,1
716,3
717,13
718,5
719,4
720,0
721,4
722,14
723,16
724,13
725,5
726,4
727,7
728,0
729,2
730,16
731,17
732,1
733,17
734,17
735,14
736,3
737,5
738,2
739,17
740,4
741,16
742,21
743,13
744,0
745,3
746,7
747,0
748,14
749,3
750,16
751,7
752,5
753,6
754,18
755,0
756,17
757,14
758,16
759,0
760,7
761,0
762,17
763,7
764,17
765,14
766,17
767,21
768,4
769,16
770,0
771,17
772,19
773,4
774,13
775,18
776,14
777,13
778,13
779,0
780,16
781,18
782,5
783,0
784,16
785,7
786,3
787,2
788,14
789,13
790,4
791,13
792,6
793,7
794,18
795,18
796,14
797,5
798,0
799,17
800,14
801,3
802,16
803,0
804,0
805,5
806,4
807,10
808,4
809,3
810,14
811,0
812,4
813,1
814,5
815,3
816,2
817,16
818,3
819,3
820,5
821,3
822,4
823,3
824,2
825,4
826,3
827,1
828,16
829,3
830,13
831,0
832,0
833,5
834,17
835,18
836,5
837,1
838,0
839,14
840,14
841,14
842,14
843,3
844,0
845,3
846,14
847,7
848,1
849,9
850,0
851,4
852,4
853,3
854,1
855,17
856,2
857,17
858,19
859,2
860,0
861,3
862,13
863,5
864,14
865,0
866,5
867,7
868,5
869,1
870,1
871,3
872,18
873,17
874,0
875,7
876,16
877,5
878,21
879,1
880,16
881,3
882,2
883,21
884,7
885,0
886,0
887,18
888,4
889,0
890,21
891,3
892,5
893,14
894,4
895,17
896,17
897,17
898,7
899,0
900,5
901,16
902,7
903,13
904,17
905,5
906,14
907,14
908,5
909,14
910,13
911,2
912,5
913,3
914,16
915,3
916,2
917,14
918,0
919,2
920,3
921,17
922,14
923,7
924,14
925,3
926,1
927,4
928,16
929,3
930,13
931,3
932,3
933,3
934,4
935,14
936,13
937,3
938,0
939,0
940,5
941,9
942,16
943,4
944,3
945,17
946,3
947,7
948,3
949,3
950,16
951,4
952,13
953,17
954,3
955,2
956,7
957,0
958,9
959,17
960,17
961,3
962,3
963,14
964,2
965,14
966,16
967,16
968,6
969,18
970,4
971,19
972,2
973,13
974,17
975,21
976,17
977,13
978,22
979,0
980,3
981,3
982,0
983,7
984,11
985,4
986,7
987,3
988,13
989,3
990,7
991,3
992,14
993,5
994,16
995,0
996,14
997,7
998,3
999,16
1000,5
1001,13
1002,3
1003,13
1004,14
1005,11
1006,0
1007,17
1008,0
1009,14
1010,3
1011,7
1012,7
1013,0
1014,4
1015,2
1016,18
1017,1
1018,1
1019,14
1020,16
1021,5
1022,3
1023,17
1024,14
1025,13
1026,13
1027,14
1028,2
1029,5
1030,2
1031,3
1032,7
1033,0
1034,0
1035,5
1036,14
1037,7
1038,1
1039,0
1040,14
1041,4
1042,2
1043,18
1044,3
1045,3
1046,2
1047,0
1048,17
1049,7
1050,17
1051,14
1052,7
1053,0
1054,5
1055,3
1056,18
1057,14
1058,3
1059,4
1060,3
1061,13
1062,7
1063,14
1064,14
1065,3
1066,7
1067,5
1068,3
1069,9
1070,1
1071,3
1072,0
1073,3
1074,14
1075,3
1076,4
1077,4
1078,16
1079,3
1080,14
1081,18
1082,0
1083,1
1084,16
1085,1
1086,3
1087,5
1088,17
1089,7
1090,2
1091,13
1092,17
1093,17
1094,17
1095,1
1096,3
1097,16
1098,17
1099,0
1100,1
1101,5
1102,7
1103,13
1104,17
1105,13
1106,7
1107,2
1108,14
1109,17
1110,13
1111,0
1112,0
1113,7
1114,18
1115,2
1116,3
1117,3
1118,16
1119,11
1120,0
1121,0
1122,7
1123,16
1124,17
1125,9
1126,8
1127,5
1128,17
1129,16
1130,3
1131,1
1132,21
1133,14
1134,0
1135,17
1136,10
1137,3
1138,3
1139,16
1140,0
1141,4
1142,2
1143,3
1144,7
1145,3
1146,13
1147,7
1148,3
